PLAYER,POS,REAL POS,TEAM,OPP,START,SAL,FPTS,VAL,FPTS L5,VAL L5,FPTS AVG,VAL AVG,WEATHER
Edwin Encarnacion,1B,1B,CWS,@KC,5,4000,8.7,2.2,5.8,1.5,6.0,1.5,W 8 L-R
Jake Cronenworth,2B,2B,SD,@LAA,7,3900,8.6,2.2,12.4,3.2,8.7,2.2,W 9 Out
J.T. Realmuto,C,C,PHI,WAS,4,5100,8.6,1.7,9.0,1.8,9.8,1.9,W 8 Out
J.D. Martinez,OF,OF,BOS,TOR,4,5100,8.6,1.7,5.6,1.1,6.7,1.3,W 4 R-L
Eloy Jimenez,OF,OF,CWS,@KC,6,4800,8.6,1.8,3.0,0.6,8.9,1.9,W 8 L-R
Hunter Dozier,OF,OF,KC,CWS,2,4300,8.5,2.0,9.6,2.2,8.7,2.0,W 8 L-R
Gio Urshela,3B,3B,NYY,@NYM,3,3600,8.5,2.4,9.0,2.5,8.1,2.3,W 8 Out
Cavan Biggio,2B,2B/OF,TOR,@BOS,1,4900,8.4,1.7,4.8,1.0,9.1,1.9,W 4 R-L
Jurickson Profar,OF,OF,SD,@LAA,8,3300,8.3,2.5,12.8,3.9,6.8,2.1,W 9 Out
Christian Walker,1B,1B,ARI,@LAD,4,4100,8.3,2.0,8.6,2.1,8.0,2.0,W 5 Out
Derek Fisher,OF,OF,TOR,@BOS,9,2200,8.3,3.8,1.2,0.6,3.1,1.4,W 4 R-L
Yoan Moncada,3B,3B,CWS,@KC,2,5400,8.3,1.5,6.8,1.3,7.4,1.4,W 8 L-R
Michael Conforto,OF,OF,NYM,NYY,3,3000,8.3,2.8,11.0,3.7,9.2,3.1,W 8 Out
Jay Bruce,OF,OF,PHI,WAS,5,2900,8.2,2.8,11.6,4.0,8.2,2.8,W 8 Out
Whit Merrifield,OF,OF,KC,CWS,1,5300,8.1,1.5,6.0,1.1,9.0,1.7,W 8 L-R
Didi Gregorius,SS,SS,PHI,WAS,6,4400,8.1,1.9,7.6,1.7,8.1,1.8,W 8 Out
Jonathan Villar,2B,2B/SS,TOR,@BOS,3,4100,8.0,2.0,3.4,0.8,7.0,1.7,W 4 R-L
Bobby Dalbec,1B,1B/3B,BOS,TOR,8,2700,8.0,3.0,6.3,2.3,6.3,2.3,W 4 R-L
Pete Alonso,1B,1B,NYM,NYY,6,3000,8.0,2.7,5.8,1.9,7.2,2.4,W 8 Out
Will Smith,C,C,LAD,ARI,9,3500,7.9,2.3,9.4,2.7,6.9,2.0,W 5 Out
Jackie Bradley,OF,OF,BOS,TOR,7,2800,7.8,2.8,8.0,2.9,5.7,2.1,W 4 R-L
Brett Gardner,OF,OF,NYY,@NYM,6,2700,7.8,2.9,1.8,0.7,4.8,1.8,W 8 Out
Aaron Hicks,OF,OF,NYY,@NYM,5,3200,7.7,2.4,6.2,1.9,6.1,1.9,W 8 Out
Gavin Lux,2B,2B,LAD,ARI,8,3700,7.6,2.1,2.0,0.5,2.0,0.5,W 5 Out
Chris Taylor,OF,OF/SS,LAD,ARI,6,3700,7.6,2.1,6.8,1.8,6.3,1.7,W 5 Out
Yasmani Grandal,C,C,CWS,@KC,4,4800,7.6,1.6,6.6,1.4,6.7,1.4,W 8 L-R
Jorge Soler,OF,OF,KC,CWS,3,4200,7.6,1.8,4.6,1.1,7.6,1.8,W 8 L-R
Eric Thames,1B,1B,WAS,@PHI,6,3500,7.6,2.2,5.6,1.6,4.3,1.2,W 8 Out
Kurt Suzuki,C,C,WAS,@PHI,7,3800,7.6,2.0,6.6,1.7,6.0,1.6,W 8 Out
Michael Chavis,1B,1B/2B,BOS,TOR,6,3800,7.5,2.0,1.4,0.4,4.9,1.3,W 4 R-L
Ryan O'Hearn,1B,1B,KC,CWS,4,3400,7.5,2.2,4.6,1.4,5.2,1.5,W 8 L-R
Howie Kendrick,1B,1B,WAS,@PHI,5,3900,7.5,1.9,6.8,1.7,6.3,1.6,W 8 Out
Gary Sanchez,C,C,NYY,@NYM,4,3800,7.5,2.0,5.0,1.3,5.1,1.4,W 8 Out
Danny Jansen,C,C,TOR,@BOS,8,3100,7.5,2.4,4.2,1.4,4.3,1.4,W 4 R-L
Adam Haseley,OF,OF,PHI,WAS,9,2300,7.4,3.2,1.0,0.4,2.5,1.1,W 8 Out
Shohei Ohtani,1B,1B/OF,LAA,SD,,4600,7.4,1.6,-5.4,0.0,-5.4,0.0,W 9 Out
J.D. Davis,3B,3B,NYM,NYY,2,2800,7.4,2.7,3.8,1.4,6.7,2.4,W 8 Out
Jean Segura,2B,2B,PHI,WAS,7,4500,7.4,1.6,7.4,1.6,7.0,1.6,W 8 Out
Robinson Cano,2B,2B,NYM,NYY,5,4000,7.4,1.8,13.8,3.5,8.9,2.2,W 8 Out
A.J. Pollock,OF,OF,LAD,ARI,4,3500,7.4,2.1,3.6,1.0,6.9,2.0,W 5 Out
Adam Eaton,OF,OF,WAS,@PHI,2,3400,7.3,2.2,5.4,1.6,6.9,2.0,W 8 Out
Wilson Ramos,C,C,NYM,NYY,7,2500,7.2,2.9,3.6,1.4,4.6,1.8,W 8 Out
Anthony Rendon,3B,3B,LAA,SD,3,5100,7.1,1.4,4.8,0.9,8.7,1.7,W 9 Out
Jeff McNeil,2B,2B/OF,NYM,NYY,1,2500,7.0,2.8,8.4,3.4,5.3,2.1,W 8 Out
Victor Robles,OF,OF,WAS,@PHI,9,2100,7.0,3.3,4.6,2.2,5.3,2.5,W 8 Out
Enrique Hernandez,2B,2B,LAD,ARI,7,3600,6.9,1.9,1.4,0.4,4.7,1.3,W 5 Out
Adalberto Mondesi,SS,SS,KC,CWS,7,3000,6.9,2.3,0.4,0.1,4.5,1.5,W 8 L-R
Amed Rosario,SS,SS,NYM,NYY,8,2000,6.9,3.4,3.6,1.8,5.0,2.5,W 8 Out
Alec Bohm,3B,3B,PHI,WAS,8,3300,6.8,2.1,7.0,2.1,7.4,2.2,W 8 Out
Eric Hosmer,1B,1B,SD,@LAA,4,4200,6.7,1.6,17.4,4.1,10.0,2.4,W 9 Out
Trent Grisham,OF,OF,SD,@LAA,1,4000,6.7,1.7,8.0,2.0,8.7,2.2,W 9 Out
Alex Gordon,OF,OF,KC,CWS,6,2300,6.7,2.9,8.6,3.7,4.9,2.1,W 8 L-R
Tyler Wade,2B,2B/SS,NYY,@NYM,9,2200,6.7,3.0,4.6,2.1,2.4,1.1,W 8 Out
Nick Madrigal,2B,2B,CWS,@KC,9,3000,6.6,2.2,8.0,2.7,6.3,2.1,W 8 L-R
Christian Vazquez,C,C,BOS,TOR,5,4500,6.5,1.5,4.0,0.9,6.0,1.3,W 4 R-L
Ketel Marte,2B,2B,ARI,@LAD,2,5100,6.5,1.3,4.8,0.9,6.4,1.3,W 5 Out
Justin Upton,OF,OF,LAA,SD,5,2100,6.5,3.1,8.4,4.0,4.9,2.3,W 9 Out
Maikel Franco,3B,3B,KC,CWS,5,3700,6.4,1.7,7.2,2.0,6.9,1.9,W 8 L-R
Nick Ahmed,SS,SS,ARI,@LAD,6,4200,6.3,1.5,4.6,1.1,6.3,1.5,W 5 Out
Asdrubal Cabrera,1B,1B/3B,WAS,@PHI,3,4400,6.2,1.4,2.8,0.6,7.0,1.6,W 8 Out
Eduardo Escobar,3B,3B,ARI,@LAD,5,4000,6.2,1.6,6.4,1.6,6.1,1.5,W 5 Out
Mike Tauchman,OF,OF,NYY,@NYM,8,2900,6.2,2.1,3.4,1.2,5.3,1.8,W 8 Out
Travis Shaw,1B,1B/3B,TOR,@BOS,7,3800,6.2,1.6,4.2,1.1,5.0,1.3,W 4 R-L
David Fletcher,2B,2B/SS,LAA,SD,1,4700,6.0,1.3,6.2,1.3,8.3,1.8,W 9 Out
Nomar Mazara,OF,OF,CWS,@KC,8,2500,6.0,2.4,3.4,1.4,4.3,1.7,W 8 L-R
Cam Gallagher,C,C,KC,CWS,9,2300,5.9,2.6,2.8,1.2,4.1,1.8,W 8 L-R
Kole Calhoun,OF,OF,ARI,@LAD,1,4300,5.9,1.4,3.8,0.9,7.7,1.8,W 5 Out
Todd Frazier,1B,1B/3B,NYM,NYY,4,3700,5.9,1.6,2.8,0.8,5.6,1.5,W 8 Out
Jo Adell,OF,OF,LAA,SD,7,2000,5.8,2.9,6.0,3.0,4.1,2.0,W 9 Out
Albert Pujols,1B,1B,LAA,SD,6,2600,5.8,2.2,7.4,2.9,6.5,2.5,W 9 Out
Brandon Nimmo,OF,OF,NYM,NYY,9,3000,5.7,1.9,4.8,1.6,7.7,2.6,W 8 Out
Luis Garcia,2B,2B,WAS,@PHI,8,3200,5.6,1.7,2.0,0.6,5.2,1.6,W 8 Out
David Peralta,OF,OF,ARI,@LAD,3,3700,5.6,1.5,4.6,1.2,6.7,1.8,W 5 Out
Andrelton Simmons,SS,SS,LAA,SD,9,3200,5.5,1.7,7.6,2.4,6.5,2.0,W 9 Out
Daulton Varsho,OF,OF,ARI,@LAD,8,2000,5.4,2.7,1.8,0.9,2.1,1.0,W 5 Out
Jason Castro,C,C,SD,@LAA,9,3200,5.4,1.7,4.0,1.3,5.3,1.6,W 9 Out
Anthony Bemboom,C,C,LAA,SD,8,2100,5.2,2.5,5.0,2.4,5.9,2.8,W 9 Out
Stephen Vogt,C,C,ARI,@LAD,7,3400,5.2,1.5,1.8,0.5,3.4,1.0,W 5 Out
Jose Peraza,2B,2B/OF,BOS,TOR,9,2700,5.1,1.9,3.0,1.1,4.3,1.6,W 4 R-L
Jon Jay,OF,OF,ARI,@LAD,9,2000,5.1,2.5,4.8,2.4,3.4,1.7,W 5 Out
Nicky Lopez,2B,2B,KC,CWS,8,2800,4.7,1.7,2.4,0.9,3.8,1.4,W 8 L-R
Joc Pederson,OF,OF,LAD,ARI,,3500,2.7,0.8,4.6,1.3,5.8,1.7,W 5 Out
Carson Kelly,C,C,ARI,@LAD,,2200,2.7,1.2,4.8,2.2,4.0,1.8,W 5 Out
Mike Ford,1B,1B,NYY,@NYM,,2800,2.7,1.0,3.6,1.3,4.6,1.6,W 8 Out
Matt Beaty,1B,1B,LAD,ARI,,2500,2.7,1.1,1.6,0.6,4.0,1.6,W 5 Out
Rowdy Tellez,1B,1B,TOR,@BOS,,2800,2.7,1.0,5.6,2.0,7.1,2.5,W 4 R-L
James McCann,C,C,CWS,@KC,,4400,2.6,0.6,9.8,2.2,7.7,1.8,W 8 L-R
Roman Quinn,OF,OF,PHI,WAS,,2300,2.6,1.1,4.4,1.9,5.6,2.5,W 8 Out
Jake Marisnick,OF,OF,NYM,NYY,,2000,2.4,1.2,6.0,3.0,3.3,1.7,W 8 Out
Robinson Chirinos,C,C,NYM,NYY,,3500,2.4,0.7,2.4,0.7,2.8,0.8,W 8 Out
Josh Rojas,2B,2B/OF,ARI,@LAD,,2000,2.4,1.2,2.5,1.3,2.5,1.3,W 5 Out
Jorge Mateo,OF,OF,SD,@LAA,,2000,2.3,1.1,3.8,1.9,1.7,0.9,W 9 Out
Joe Panik,2B,2B/3B,TOR,@BOS,,2900,2.3,0.8,7.2,2.5,3.4,1.2,W 4 R-L
Santiago Espinal,SS,SS,TOR,@BOS,,2300,2.3,1.0,5.0,2.2,3.3,1.4,W 4 R-L
Dominic Smith,1B,1B/OF,NYM,NYY,,3200,2.2,0.7,4.4,1.4,9.0,2.8,W 8 Out
Reese McGuire,C,C,TOR,@BOS,,3000,2.2,0.7,0.4,0.1,1.3,0.4,W 4 R-L
Mitch Moreland,1B,1B,SD,@LAA,,4000,2.2,0.6,4.6,1.2,9.6,2.4,W 9 Out
Jarrod Dyson,OF,OF,CWS,@KC,,2500,2.2,0.9,0.8,0.3,3.2,1.3,W 8 L-R
Ryan McBroom,1B,1B/OF,KC,CWS,,2400,2.2,0.9,3.4,1.4,4.9,2.0,W 8 L-R
Adam Engel,OF,OF,CWS,@KC,,2300,2.2,0.9,2.8,1.2,4.8,2.1,W 8 L-R
Thairo Estrada,2B,2B/SS,NYY,@NYM,,2600,2.1,0.8,2.4,0.9,2.7,1.0,W 8 Out
Kevin Plawecki,C,C,BOS,TOR,,2600,2.1,0.8,5.4,2.1,6.1,2.3,W 4 R-L
Yan Gomes,C,C,WAS,@PHI,,2900,2.1,0.7,7.4,2.6,7.7,2.7,W 8 Out
Kyle Higashioka,C,C,NYY,@NYM,,2200,2.1,1.0,2.0,0.9,2.0,0.9,W 8 Out
Brock Holt,3B,3B/OF,WAS,@PHI,,2100,2.1,1.0,0.8,0.4,1.3,0.6,W 8 Out
Francisco Mejia,C,C,SD,@LAA,,2600,2.1,0.8,3.2,1.2,2.4,0.9,W 9 Out
Jonathan Arauz,2B,2B/3B,BOS,TOR,,3500,2.1,0.6,3.8,1.1,4.1,1.2,W 4 R-L
Erik Kratz,C,C,NYY,@NYM,,2700,2.1,0.8,4.2,1.6,3.8,1.4,W 8 Out
Tzu-Wei Lin,OF,OF/SS,BOS,TOR,,2400,2.1,0.9,1.8,0.8,1.3,0.5,W 4 R-L
Edwin Rios,1B,1B/3B,LAD,ARI,,3000,2.1,0.7,2.8,0.9,4.9,1.7,W 5 Out
Yolmer Sanchez,2B,2B/3B,CWS,@KC,,3400,2.1,0.6,0.7,0.2,0.7,0.2,W 8 L-R
Tim Locastro,OF,OF,ARI,@LAD,,2400,2.1,0.9,3.6,1.5,3.2,1.3,W 5 Out
Josh Harrison,3B,3B/OF,WAS,@PHI,,3900,2.1,0.5,7.6,2.0,7.2,1.8,W 8 Out
Billy Hamilton,OF,OF,NYM,NYY,,2000,2.1,1.0,2.2,1.1,1.9,0.9,W 8 Out
Danny Mendick,2B,2B/3B,CWS,@KC,,3100,2.1,0.7,4.8,1.6,4.9,1.6,W 8 L-R
Michael Taylor,OF,OF,WAS,@PHI,,2000,2.0,1.0,5.4,2.7,4.2,2.1,W 8 Out
Yairo Munoz,OF,OF/SS,BOS,TOR,,2800,2.0,0.7,5.0,1.8,5.0,1.8,W 4 R-L
Salvador Perez,C,C,KC,CWS,,4600,2.0,0.4,6.6,1.4,7.4,1.6,W 8 L-R
Luis Guillorme,2B,2B/3B,NYM,NYY,,2000,2.0,1.0,5.2,2.6,6.3,3.1,W 8 Out
Austin Barnes,C,C,LAD,ARI,,2800,2.0,0.7,6.8,2.4,6.0,2.1,W 5 Out
Andres Gimenez,2B,2B/SS,NYM,NYY,,2000,2.0,1.0,5.4,2.7,4.8,2.4,W 8 Out
Neil Walker,1B,1B/2B,PHI,WAS,,2400,2.0,0.8,4.0,1.7,3.1,1.3,W 8 Out
Patrick Mazeika,C,C,NYM,NYY,,2000,2.0,1.0,0.0,0.0,0.0,0.0,W 8 Out
Bubba Starling,OF,OF,KC,CWS,,2300,2.0,0.9,2.0,0.9,1.7,0.7,W 8 L-R
Ali Sanchez,C,C,NYM,NYY,,2000,2.0,1.0,1.0,0.5,1.0,0.5,W 8 Out
Phil Gosselin,2B,2B/OF,PHI,WAS,,3300,2.0,0.6,2.2,0.7,6.3,1.9,W 8 Out
Meibrys Viloria,C,C,KC,CWS,,2300,1.9,0.8,0.6,0.3,1.7,0.7,W 8 L-R
Luis Rengifo,2B,2B,LAA,SD,,2300,1.9,0.8,5.6,2.4,3.6,1.6,W 9 Out
Andy Young,3B,3B,ARI,@LAD,,2300,1.9,0.8,2.6,1.1,4.7,2.0,W 5 Out
Jake Lamb,1B,1B,ARI,@LAD,,2200,1.8,0.8,2.4,1.1,1.9,0.9,W 5 Out
Jahmai Jones,OF,OF,LAA,SD,,2000,1.8,0.9,0.0,0.0,0.0,0.0,W 9 Out
Wilmer Difo,2B,2B/SS,WAS,@PHI,,2100,1.8,0.9,0.6,0.3,0.5,0.2,W 8 Out
Jose Briceno,C,C,LAA,SD,,2000,1.8,0.9,0.0,0.0,0.0,0.0,W 9 Out
Jared Walsh,1B,1B,LAA,SD,,2000,1.8,0.9,1.4,0.7,0.8,0.4,W 9 Out
Andrew Knapp,C,C,PHI,WAS,,2400,1.8,0.8,6.0,2.5,4.6,1.9,W 8 Out
Greg Garcia,2B,2B,SD,@LAA,,2200,1.7,0.8,2.0,0.9,3.0,1.4,W 9 Out
Nick Martini,OF,OF,PHI,WAS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Cheslor Cuthbert,1B,1B/3B,CWS,@KC,,2700,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Nick Heath,OF,OF,KC,CWS,,2300,0.0,0.0,5.2,2.3,5.2,2.3,W 8 L-R
Aaron Judge,OF,OF,NYY,@NYM,,5100,0.0,0.0,9.6,1.9,11.4,2.2,W 8 Out
Andrew Benintendi,OF,OF,BOS,TOR,,3900,0.0,0.0,3.2,0.8,3.8,1.0,W 4 R-L
Zack Granite,OF,OF,NYY,@NYM,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Riley Adams,C,C,TOR,@BOS,,2500,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
David Rodriguez,C,C,NYM,NYY,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Justin Turner,3B,3B,LAD,ARI,,4500,0.0,0.0,9.2,2.0,7.8,1.7,W 5 Out
Josh Palacios,OF,OF,TOR,@BOS,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Pavin Smith,1B,1B,ARI,@LAD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
DJ Peters,OF,OF,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
John Hicks,1B,1B/C,ARI,@LAD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Rocky Gale,C,C,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Caleb Joseph,C,C,TOR,@BOS,,2600,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Freddy Fermin,C,C,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Zack Collins,C,C,CWS,@KC,,3100,0.0,0.0,1.8,0.6,1.2,0.4,W 8 L-R
Brandon Snyder,3B,3B,WAS,@PHI,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Luis Gonzalez,OF,OF,CWS,@KC,,2300,0.0,0.0,1.3,0.6,1.3,0.6,W 8 L-R
Wil Myers,OF,OF,SD,@LAA,6,3600,0.0,0.0,10.0,2.8,9.4,2.6,W 9 Out
Jarrett Parker,OF,OF,NYM,NYY,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Yadiel Hernandez,OF,OF,WAS,@PHI,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Geraldo Perdomo,SS,SS,ARI,@LAD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Tucupita Marcano,3B,3B/SS,SD,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Kyle Garlick,OF,OF,PHI,WAS,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Arquimedes Gamboa,SS,SS,PHI,WAS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Miguel Andujar,3B,3B/OF,NYY,@NYM,,2400,0.0,0.0,1.6,0.7,1.5,0.6,W 8 Out
Nick Dini,C,C,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Brandon Drury,2B,2B/3B,TOR,@BOS,,2200,0.0,0.0,2.0,0.9,1.7,0.8,W 4 R-L
Kyle Isbel,OF,OF,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Jakson Reetz,C,C,WAS,@PHI,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Seuly Matias,OF,OF,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Henri Lartigue,C,C,PHI,WAS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Luke Raley,OF,OF,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Scott Kingery,2B,2B/OF,PHI,WAS,,2300,0.0,0.0,5.4,2.4,2.9,1.3,W 8 Out
Andrew Stevenson,OF,OF,WAS,@PHI,,2100,0.0,0.0,3.0,1.4,3.0,1.4,W 8 Out
Micker Adolfo,OF,OF,CWS,@KC,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Gleyber Torres,SS,SS,NYY,@NYM,,4300,0.0,0.0,4.2,1.0,5.0,1.2,W 8 Out
Matt Duffy,3B,3B/SS,NYY,@NYM,,3300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Webster Rivas,C,C,SD,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Rosell Herrera,2B,2B/OF,NYY,@NYM,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Jonathan Davis,OF,OF,TOR,@BOS,,2500,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Max McDowell,C,C,NYY,@NYM,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Jake Hager,1B,1B/2B,NYM,NYY,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 8 Out
Wyatt Mathisen,2B,2B/3B,ARI,@LAD,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Matt Thaiss,1B,1B/3B,LAA,SD,,2000,0.0,0.0,2.4,1.2,2.4,1.2,W 9 Out
Cesar Puello,OF,OF,BOS,TOR,,2400,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Nicky Delmonico,OF,OF,CWS,@KC,,2400,0.0,0.0,3.4,1.4,2.7,1.1,W 8 L-R
Kevin Cron,1B,1B,ARI,@LAD,,2000,0.0,0.0,0.4,0.2,0.8,0.4,W 5 Out
Sebastian Rivero,C,C,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Jordan Groshans,3B,3B,TOR,@BOS,,2100,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Nick Pratto,1B,1B,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Luis Campusano,C,C,SD,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
MJ Melendez,C,C,KC,CWS,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Blake Rutherford,OF,OF,CWS,@KC,,2300,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
Kevin Smith,SS,SS,TOR,@BOS,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 4 R-L
Keibert Ruiz,C,C,LAD,ARI,,3900,0.0,0.0,8.5,2.2,8.5,2.2,W 5 Out
Carter Kieboom,3B,3B,WAS,@PHI,,2500,0.0,0.0,2.8,1.1,4.8,1.9,W 8 Out
Jorge Ona,OF,OF,SD,@LAA,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 9 Out
Anthony Garcia,OF,OF,LAD,ARI,,2000,0.0,0.0,0.0,0.0,0.0,0.0,W 5 Out
Seby Zavala,C,C,CWS,@KC,,2200,0.0,0.0,0.0,0.0,0.0,0.0,W 8 L-R
